,SV,SV,SV,GA_x,GA_x,GA_x,GAA_x,GAA_x,GAA_x,TOI,TOI,TOI
,mean,min,max,mean,min,max,mean,min,max,mean,min,max
Cntry,,,,,,,,,,,,
CAN,642.88,5,1946,61.52,0,171,2.96490263262068,0.0,6.0,1147.5384,6.97,3417.26
CHE,127.0,127,127,18.0,18,18,3.4491935913127754,3.4491935913127754,3.4491935913127754,248.43,248.43,248.43
CZE,351.5,7,1317,40.25,1,145,3.6603962934651353,3.0,4.730173627405862,594.5375,7.39,2200.09
DEU,934.5,542,1327,84.5,43,126,2.3637380667701278,2.0402245828610055,2.68725155067925,1628.095,967.33,2288.86
FIN,777.5,363,1395,82.75,38,151,2.845905523193591,2.350163205778114,3.29765692797223,1377.3475,646.87,2559.68
LVA,3.0,3,3,0.0,0,0,0.0,0.0,0.0,11.45,11.45,11.45
RUS,1357.0,1357,1357,123.0,123,123,2.606607172290346,2.606607172290346,2.606607172290346,2209.61,2209.61,2209.61
SVK,1052.0,810,1294,97.5,75,120,2.4896302611107686,2.1763662743833407,2.8028942478381964,1927.335,1242.1,2612.57
SWE,51.25,23,123,6.75,2,18,3.1562868611191277,1.528337932497759,4.096728307256954,95.775,47.1,211.21
USA,353.85714285714283,0,1618,35.5,0,163,2.1062754683965363,0.0,5.09049773755944,596.9378571428572,0.13,2686.76
